epoch;train loss;train acc;val loss;val acc
145;0,1995;93,9800;0,6147;84,8000
146;0,2021;93,7000;0,5624;84,8000
147;0,1965;94,0000;0,7184;82,4000
148;0,1989;93,4200;0,6171;84,0000
149;0,1888;94,0400;0,6753;82,4000
150;0,1855;94,3400;0,6127;83,2000
151;0,1970;93,7400;0,6479;84,0000
152;0,1781;94,5000;0,6003;82,4000
153;0,1790;94,8000;0,6448;84,4000
154;0,1822;94,3000;0,5987;83,2000
155;0,1894;94,1200;0,6185;82,0000
